SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,1990 Greenwood Ave,Calistoga,CA,94515,4500000,,,Calistoga,,625086,,15,,,Active,,,https://www.redfin.com/CA/Calistoga/1990-Greenwood-Ave-94515/home/22601260,BAREIS,323913046,N,Y,38.5925708,-122.5905704
MLS Listing,,Single Family Residential,1549 Riesling Way,St. Helena,CA,94574,1395000,3,2.5,St. Helena,2411,9749,1978,15,579,,Active,,,https://www.redfin.com/CA/Saint-Helena/1549-Reisling-Way-94574/home/12194825,BAREIS,323913628,N,Y,38.4948689,-122.481817
MLS Listing,,Single Family Residential,1445 Tainter St,St. Helena,CA,94574,1725000,3,2.0,St. Helena,972,7098,1883,15,1775,,Active,,,https://www.redfin.com/CA/Saint-Helena/1445-Tainter-St-94574/home/12194018,CRMLS,NP23179263,N,Y,38.5021065,-122.4710609
MLS Listing,,Single Family Residential,2151 Navarre St,Napa,CA,94559,850000,3,2.0,Napa,1100,5746,1967,16,773,,Active,,,https://www.redfin.com/CA/Napa/2151-Navarre-St-94559/home/12213343,BAREIS,323913498,N,Y,38.2809977,-122.2594101
MLS Listing,,Mobile/Manufactured Home,3000 - 3000 Broadway St #96,American Canyon,CA,94503,125000,2,1.0,Las Casitas,672,,1970,16,186,,Active,,,https://www.redfin.com/CA/American-Canyon/3000-Broadway-94503/unit-96/home/187661061,BAREIS,323913451,N,Y,38.1631705,-122.2504776
MLS Listing,,Single Family Residential,1027 Round Hill Ct,Napa,CA,94558,1335000,4,3.0,Napa,2050,10041,1975,16,651,,Active,,,https://www.redfin.com/CA/Napa/1027-Round-Hill-Ct-94558/home/12215439,BAREIS,323913429,N,Y,38.3028309,-122.3373489
MLS Listing,,Multi-Family (2-4 Unit),304 - 308 Minahen St,Napa,CA,94559,1075000,4,2.0,Napa,1720,11016,,16,625,,Active,,,https://www.redfin.com/CA/Napa/304-Minahen-St-94559/home/12189772,BAREIS,323912956,N,Y,38.2857015,-122.3001436
MLS Listing,,Single Family Residential,3380 State Highway 128,Calistoga,CA,94515,1490000,7,8.0,Calistoga,8300,183388,2021,16,180,,Active,,,https://www.redfin.com/CA/Calistoga/3380-CA-128-94515/home/181350330,BAREIS,323913348,N,Y,38.598241,-122.618024
MLS Listing,,Single Family Residential,2317 Ethel Porter Dr,Napa,CA,94558,689000,3,2.0,Napa,1042,6011,1955,16,661,,Active,,,https://www.redfin.com/CA/Napa/2317-Ethel-Porter-Dr-94558/home/12207553,BAREIS,323912973,N,Y,38.3180551,-122.3161992
MLS Listing,,Single Family Residential,3924 Oxford St,Napa,CA,94558,849000,3,2.0,Napa,1245,5467,1991,16,682,,Active,,,https://www.redfin.com/CA/Napa/3924-Oxford-St-94558/home/12192666,BAREIS,323913325,N,Y,38.3279951,-122.320917
MLS Listing,,Single Family Residential,47 Blackberry Dr,Napa,CA,94558,1030000,4,2.5,Napa,2414,5053,1999,17,427,,Active,,,https://www.redfin.com/CA/Napa/47-Blackberry-Dr-94558/home/12205302,BAREIS,323911648,N,Y,38.3280778,-122.2991345
MLS Listing,,Mobile/Manufactured Home,3000 Broadway St #92,American Canyon,CA,94503,165000,2,2.0,Las Casitas,1080,,1971,18,153,,Active,,,https://www.redfin.com/CA/American-Canyon/3000-Broadway-94503/unit-92/home/146591604,BAREIS,323913180,N,Y,38.1631099,-122.2504333
MLS Listing,,Single Family Residential,1746 Vineyard Ave,St. Helena,CA,94574,2200000,4,3.0,St. Helena,2136,7362,1949,19,1030,,Active,October-15-2023 12:00 PM,October-15-2023 03:00 PM,https://www.redfin.com/CA/Saint-Helena/1746-Vineyard-Ave-94574/home/12193900,BAREIS,323913052,N,Y,38.5040513,-122.4788062
MLS Listing,,Single Family Residential,118 Stonewalk Ct,Vallejo,CA,94589,519000,3,2.0,ADOBE RIDGE,1324,6534,1985,19,392,,Active,October-11-2023 12:00 PM,October-11-2023 03:00 PM,https://www.redfin.com/CA/Vallejo/118-Stonewalk-Ct-94589/home/2278311,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040014,N,Y,38.1545437,-122.2460903
MLS Listing,,Single Family Residential,1533 Allyn Ave,St. Helena,CA,94574,3950000,4,4.5,St. Helena,3012,9257,1947,19,1311,,Active,,,https://www.redfin.com/CA/Saint-Helena/1533-Allyn-Ave-94574/home/12194163,BAREIS,323910873,N,Y,38.5016106,-122.4764664
MLS Listing,,Single Family Residential,18 Condor Ct,American Canyon,CA,94503,830000,5,3.0,Not Listed,3074,12750,2001,19,270,,Active,,,https://www.redfin.com/CA/American-Canyon/18-Condor-Ct-94503/home/12220651,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039992,N,Y,38.1564685,-122.245666
MLS Listing,,Single Family Residential,34 Joshua Ct,Napa,CA,94558,1679000,4,3.0,Cole Ranch,2878,7919,2003,19,583,,Active,,,https://www.redfin.com/CA/Napa/34-Joshua-Ct-94558/home/12222139,BAREIS,323910226,N,Y,38.3387471,-122.3135476
MLS Listing,,Single Family Residential,760 Zinfandel Ln,St. Helena,CA,94574,5750000,5,4.0,St. Helena,4100,47480,2018,19,1402,,Active,,,https://www.redfin.com/CA/Saint-Helena/760-Zinfandel-Ln-94574/home/12200465,BAREIS,323905472,N,Y,38.4858344,-122.438694
MLS Listing,,Single Family Residential,1729 Alexander Ct,St. Helena,CA,94574,2500000,3,2.5,St. Helena,2109,5685,1920,19,1185,,Active,,,https://www.redfin.com/CA/Saint-Helena/1729-Alexander-Ct-94574/home/12193872,BAREIS,323912771,N,Y,38.5072004,-122.475304
MLS Listing,,Vacant Land,1680 Los Carneros,Napa,CA,94559,2900000,,,Napa,439869,439869,,20,7,,Active,,,https://www.redfin.com/CA/Napa/1680-Los-Carneros-Ave-94559/home/187629854,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039883,N,Y,38.2435007,-122.3209158
MLS Listing,,Single Family Residential,3628 Jomar Dr,Napa,CA,94558,859000,3,2.0,Napa,1557,7174,1962,20,552,,Active,October-13-2023 05:00 PM,October-13-2023 07:00 PM,https://www.redfin.com/CA/Napa/3628-Jomar-Dr-94558/home/12193179,BAREIS,323912518,N,Y,38.3218922,-122.3222886
